grad_str,grad_duration,delta,b,avg,duration,v1,v2,v3,v4,v5
0.01, 10, 0, 0.0, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.01, 20, 0, 0.04, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.01, 50, 0, 0.6, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.01, 100, 0, 4.8, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.01, 200, 0, 38.37, 0.001305, 3149.9075191020966, 0.000969, 0.001393, 0.001933, 0.000802, 0.001428
0.05, 50, 200, 104.46, 0.001246, 3300.717605113983, 0.001145, 0.001226, 0.000997, 0.00122, 0.001344
0.05, 100, 200, 477.77, 0.001207, 4250.831097364426, 0.00116, 0.001287, 0.001227, 0.00122, 0.001142
0.01, 400, 0, 306.92, 0.001102, 6418.623776435852, 0.001171, 0.000801, 0.000945, 0.000992, 0.001599
0.02, 10, 0, 0.02, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.02, 20, 0, 0.15, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.02, 50, 0, 2.4, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.02, 100, 0, 19.18, 0.000681, 1679.622135400772, -8.9e-05, 0.001543, 0.000585, 0.001398, -3.2e-05
0.05, 200, 200, 2390.66, 0.000457, 5921.878289699554, 0.000238, 0.000384, 0.000105, 0.000835, 0.000724
0.05, 400, 200, 13399.14, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.02, 200, 0, 153.46, 0.001126, 3158.3834087848663, 0.001023, 0.001018, 0.001113, 0.001262, 0.001211
0.1, 10, 200, 14.79, 0.00089, 2612.3023006916046, 0.000664, 0.000239, 0.00187, 0.000682, 0.000995
0.1, 20, 200, 61.1, 0.001248, 2371.348418712616, 0.000955, 0.001228, 0.001319, 0.001411, 0.001328
0.05, 400, 0, 1227.68, 0.001334, 6408.856474876404, 0.001266, 0.00167, 0.000978, 0.000829, 0.001926
0.035, 10, 0, 0.06, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.035, 20, 0, 0.47, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.035, 50, 0, 7.34, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.1, 50, 200, 417.83, 0.001195, 2726.815037727356, 0.001155, 0.001171, 0.001233, 0.001202, 0.001214
0.035, 100, 0, 58.75, 0.001275, 1712.0459167957306, 0.00146, 0.001428, 0.00116, 0.001073, 0.001254
0.1, 100, 200, 1911.1, 0.000865, 3637.685446739197, 0.000581, 0.001029, 0.000845, 0.000443, 0.001429
0.1, 200, 200, 9562.63, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.1, 400, 200, 53596.56, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.035, 200, 0, 469.97, 0.001184, 3241.868588924408, 0.001124, 0.001141, 0.001254, 0.001207, 0.001192
0.035, 400, 0, 3759.78, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.05, 10, 0, 0.12, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.05, 20, 0, 0.96, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.05, 50, 0, 14.99, 0.001221, 1151.5100762844086, 0.001657, 0.000333, 0.001432, 0.001427, 0.001256
0.2, 10, 200, 59.18, 0.001191, 2044.1394913196564, 0.001378, 0.000995, 0.001095, 0.001328, 0.00116
0.05, 100, 0, 119.89, 0.001152, 2041.0462057590485, 0.001269, 0.000972, 0.001345, 0.001076, 0.001096
0.2, 20, 200, 244.39, 0.001195, 2102.257176876068, 0.001115, 0.00134, 0.001105, 0.001135, 0.001281
0.2, 50, 200, 1671.31, 0.000918, 2924.9649987220764, 0.000739, 0.000927, 0.001137, 0.001, 0.000785
0.2, 100, 200, 7644.38, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.2, 200, 200, 38250.53, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.2, 400, 200, 214386.23, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.01, 10, 400, 0.29, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.01, 20, 400, 1.18, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.01, 50, 400, 7.76, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.05, 200, 0, 959.13, 0.001083, 3525.689754962921, 0.000905, 0.001011, 0.00117, 0.001279, 0.001051
0.05, 400, 0, 7673.01, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.1, 10, 0, 0.48, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.1, 20, 0, 3.84, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.1, 50, 0, 59.95, 0.001083, 995.2864496707916, 0.000988, 0.001077, 0.000873, 0.00106, 0.001418
0.1, 100, 0, 479.56, 0.001188, 2057.3758416175842, 0.001109, 0.001225, 0.001225, 0.00117, 0.001214
0.1, 200, 0, 3836.51, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.1, 400, 0, 30692.05, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.2, 10, 0, 1.92, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.2, 20, 0, 15.35, 0.000755, 516.9521408081055, 0.000923, 0.000881, 0.000261, 0.000809, 0.000899
0.01, 100, 400, 33.43, 0.00119, 4929.519300222397, 0.001334, 0.001802, 0.000653, 0.000762, 0.001398
0.2, 50, 0, 239.78, 0.001126, 1228.9494733810425, 0.001102, 0.001095, 0.001096, 0.001185, 0.001153
0.2, 100, 0, 1918.25, 0.000762, 1828.5523672103882, 0.001131, 0.000839, 0.000561, 0.000388, 0.000892
0.2, 200, 0, 15346.02, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
0.2, 400, 0, 122768.18, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111, -1.11111
