grad_str,grad_duration,delta,b,avg,duration,v11,v12,v13,v14,v15
0.035, 100, 20, 76.28, 0.002956, 1727.5834338665009, 0.001261, 0.001307, 0.001109, 0.001232, 0.001003
0.035, 50, 400, 95.02, 0.003682, 5241.215344667435, 0.00152, 0.001285, 0.001081, 0.001723, 0.001755
0.035, 200, 20, 540.12, 0.003053, 3234.4187545776367, 0.0013, 0.001117, 0.001221, 0.001226, 0.001242
0.05, 50, 20, 23.93, 0.002619, 986.7927014827728, 0.001339, 0.001414, 0.000795, 0.000987, 0.000703
0.05, 100, 20, 155.68, 0.002979, 1744.3505437374115, 0.00124, 0.00122, 0.001235, 0.001155, 0.001108
0.035, 100, 400, 409.47, 0.002757, 6349.451398849487, 0.001034, 0.000957, 0.001183, 0.001207, 0.001133
0.05, 200, 20, 1102.28, 0.002865, 3231.020775079727, 0.001137, 0.001056, 0.00139, 0.00108, 0.001067
0.1, 50, 20, 95.73, 0.002851, 981.019828081131, 0.00106, 0.001168, 0.00119, 0.001104, 0.001179
0.1, 100, 20, 622.72, 0.002895, 1743.7659223079681, 0.001136, 0.001079, 0.001138, 0.001283, 0.001156
0.2, 20, 20, 38.25, 0.002548, 525.7267231941223, 0.000918, 0.000945, 0.001097, 0.000987, 0.001149
0.2, 50, 20, 382.93, 0.002905, 987.6719598770142, 0.001174, 0.001124, 0.001002, 0.001116, 0.001193
0.2, 100, 20, 2490.87, 0.001303, 1733.6838195323944, 0.000722, 0.000433, 0.00068, 0.000459, 0.000313
0.035, 200, 400, 1872.87, 0.001791, 8285.111571788788, 0.001109, 0.000456, 0.001132, 0.00034, 0.000544
0.01, 200, 50, 52.68, 0.003363, 3468.4155859947205, 0.00175, 0.001747, 0.001007, 0.000934, 0.001288
0.05, 20, 400, 29.59, 0.001712, 4503.9949905872345, 0.000347, 0.000987, -0.000377, 0.001341, 0.001126
0.05, 50, 400, 193.93, 0.002845, 5060.647693872452, 0.001242, 0.001118, 0.000978, 0.00105, 0.001302
0.01, 400, 50, 364.18, 0.003171, 6532.4108710289, 0.001144, 0.001295, 0.00152, 0.001111, 0.001273
0.02, 100, 50, 33.5, 0.00265, 1980.8748350143433, 0.000799, 0.001349, 0.001202, 0.001298, 0.000651
0.02, 200, 50, 210.72, 0.00296, 3490.9297676086426, 0.001166, 0.001222, 0.001265, 0.001276, 0.000992
0.05, 100, 400, 835.66, 0.003267, 6066.91361951828, 0.00118, 0.001431, 0.001135, 0.001546, 0.001242
0.1, 10, 400, 29.11, 0.003536, 4404.14396739006, 0.001023, 0.002167, 0.001408, 0.001422, 0.001052
0.05, 400, 50, 1456.73, 0.002487, 6635.348009347916, 0.000803, 0.001369, 0.000526, 0.00142, 0.000858
0.035, 50, 50, 18.3, 0.003199, 1389.1510407924652, 0.001778, 0.000756, 0.00077, 0.000694, 0.002399
0.1, 20, 400, 118.36, 0.002837, 4609.774944782257, 0.000848, 0.001278, 0.001167, 0.001044, 0.001337
0.035, 100, 50, 102.59, 0.00296, 2079.597615003586, 0.000958, 0.001383, 0.001162, 0.001273, 0.001145
0.035, 200, 50, 645.33, 0.002882, 3834.127683401108, 0.001058, 0.001091, 0.001367, 0.001086, 0.001162
0.1, 50, 400, 775.71, 0.003012, 5204.7828540802, 0.001073, 0.001409, 0.001179, 0.001043, 0.00132
0.05, 50, 50, 37.35, 0.002586, 1270.454154253006, 0.00111, 0.001003, 0.001263, 0.000997, 0.0008
0.05, 100, 50, 209.36, 0.002954, 2178.929403781891, 0.001129, 0.001151, 0.001141, 0.001256, 0.001232
0.1, 100, 400, 3342.63, -0.000279, 6301.8380880355835, -0.000282, -0.000158, 0.000145, 9e-05, -0.000353
0.05, 200, 50, 1317.01, 0.002595, 3793.733991622925, 0.001085, 0.00103, 0.000993, 0.001036, 0.001046
0.1, 20, 50, 18.15, 0.002679, 769.1546375751495, 0.000911, 0.001362, 0.001097, 0.001206, 0.00078
0.1, 50, 50, 149.42, 0.002696, 1245.580322265625, 0.001051, 0.001054, 0.001096, 0.001122, 0.001069
0.2, 10, 400, 116.44, 0.002702, 3780.2745900154114, 0.001078, 0.000726, 0.001267, 0.001158, 0.001174
0.1, 100, 50, 837.45, 0.002858, 2040.7116298675537, 0.001166, 0.001114, 0.001128, 0.001131, 0.001177
0.2, 10, 50, 16.23, 0.002243, 624.3761506080627, 0.001054, 0.000843, 0.000961, 0.000901, 0.000727
0.2, 20, 50, 72.61, 0.002854, 776.970734834671, 0.001102, 0.001035, 0.001274, 0.001132, 0.001165
0.2, 50, 50, 597.66, 0.0029, 1251.0524632930756, 0.001174, 0.00129, 0.001132, 0.001119, 0.001085
0.2, 20, 400, 473.44, 0.002924, 3973.6224846839905, 0.001262, 0.001145, 0.0012, 0.001122, 0.001119
0.2, 100, 50, 3349.78, 0.0002, 2021.3991467952728, 0.000183, 3.3e-05, -5.7e-05, 0.000227, 1.3e-05
0.2, 50, 400, 3102.85, -0.00011, 4723.865761518478, -5.2e-05, -0.000191, 7e-06, -2.4e-05, 3.9e-05
0.01, 200, 100, 67.0, 0.00321, 3982.096121072769, 0.001107, 0.001456, 0.001563, 0.001051, 0.001243
0.01, 400, 100, 421.44, 0.00271, 7298.740101099014, 0.001245, 0.000763, 0.001272, 0.001076, 0.001062
0.01, 50, 800, 14.91, 0.001059, 7815.431557416916, -0.000393, -0.001368, 0.000981, 0.00179, 0.001108
0.02, 100, 100, 47.81, 0.002993, 2476.7431256771088, 0.001072, 0.0016, 0.000858, 0.000923, 0.001532
0.02, 200, 100, 267.98, 0.002921, 4081.5211696624756, 0.001136, 0.001192, 0.001281, 0.001111, 0.001122
0.01, 100, 800, 62.06, 0.003008, 8564.98738861084, 0.001716, 0.000291, 0.001316, 0.002458, 0.000235
0.02, 400, 100, 1685.77, 0.001406, 7284.628088235855, 0.001087, 6.4e-05, 0.000563, 0.000403, 0.000696
0.035, 50, 100, 29.26, 0.002838, 1669.827746629715, 0.001167, 0.001034, 0.000859, 0.001089, 0.001527
0.035, 100, 100, 146.43, 0.003204, 2457.277263402939, 0.001093, 0.001237, 0.001387, 0.001272, 0.001419
0.01, 200, 800, 267.41, 0.003474, 10135.728736877441, 0.001041, 0.001962, 0.001471, 0.001167, 0.001308
0.035, 200, 100, 820.7, 0.00274, 4026.1364619731903, 0.000982, 0.001114, 0.001336, 0.001053, 0.000995
0.05, 50, 100, 59.72, 0.002744, 1655.821855545044, 0.001108, 0.00121, 0.000888, 0.001215, 0.001068
0.05, 100, 100, 298.83, 0.002874, 2447.801761865616, 0.001171, 0.001116, 0.001124, 0.001185, 0.001152
0.05, 200, 100, 1674.89, 0.003148, 4051.078036546707, 0.000804, 0.001828, 0.001237, 0.001119, 0.001309
0.1, 20, 100, 32.47, 0.002838, 1194.5709192752838, 0.001295, 0.001068, 0.001295, 0.000986, 0.001031
0.1, 50, 100, 238.89, 0.002864, 1665.4252331256866, 0.001106, 0.001136, 0.001157, 0.001137, 0.001192
0.1, 100, 100, 1195.33, 0.003241, 2458.834661245346, 0.001111, 0.001513, 0.001211, 0.000903, 0.001744
0.2, 10, 100, 30.55, 0.002752, 1057.5074591636658, 0.001206, 0.000894, 0.001388, 0.001114, 0.000903
0.2, 20, 100, 129.87, 0.002847, 1228.634449481964, 0.001092, 0.001165, 0.001112, 0.0012, 0.001124
0.2, 50, 100, 955.55, 0.002941, 1723.2633414268494, 0.001105, 0.001247, 0.001205, 0.00118, 0.001145
0.02, 50, 800, 59.66, 0.00274, 7713.984192609787, 0.000645, 0.00162, 0.001557, 0.000111, 0.001148
0.01, 100, 200, 19.11, 0.000864, 3240.9691541194916, 0.000774, 0.001043, -0.000248, -0.000638, 0.000797
0.01, 200, 200, 95.63, 0.003328, 4848.626445531845, 0.00178, 0.001124, 0.001172, 0.001426, 0.001153
0.02, 100, 800, 248.23, 0.002719, 8267.417317867279, 0.000755, 0.000743, 0.001299, 0.001511, 0.001131
0.01, 400, 200, 535.97, 0.002838, 9222.422728300095, 0.001173, 0.00101, 0.001245, 0.000949, 0.001298
0.02, 50, 200, 16.71, 0.002731, 2778.9075994491577, 0.00182, 0.000443, 0.000829, 0.001346, 0.001025
0.02, 200, 800, 1069.64, 0.003504, 11943.423199176788, 0.001992, 0.001056, 0.000939, 0.000612, 0.00241
0.02, 100, 200, 76.44, 0.003364, 3640.5830178260803, 0.001172, 0.00167, 0.000941, 0.001458, 0.001488
0.035, 20, 800, 28.53, 0.002974, 7555.50812959671, -0.00023, 0.002576, -0.001195, 0.003055, 0.001742
0.02, 200, 200, 382.51, 0.002817, 5424.333611726761, 0.00105, 0.001193, 0.001064, 0.001189, 0.001137
0.035, 50, 800, 182.71, 0.003451, 8502.710591077805, 0.001442, 0.001264, 0.001571, 0.001379, 0.001246
0.02, 400, 200, 2143.86, 0.000279, 9311.98949933052, -0.00024, 0.000175, -8e-05, 1e-06, 0.000701
0.035, 50, 200, 51.18, 0.003062, 2805.5438117980957, 0.001148, 0.000947, 0.001787, 0.000992, 0.001251
0.035, 100, 200, 234.11, 0.002902, 3647.746829032898, 0.001262, 0.001103, 0.001136, 0.001291, 0.001013
0.035, 100, 800, 760.2, 0.00284, 9565.310666799545, 0.001065, 0.001215, 0.001413, 0.001235, 0.000753
0.035, 200, 200, 1171.42, 0.002637, 5618.8553013801575, 0.001074, 0.000977, 0.001405, 0.000926, 0.000893
0.05, 20, 200, 15.27, 0.002526, 2284.7732775211334, 0.001374, 0.001433, 0.001774, 7.1e-05, 0.0004
0.035, 200, 800, 3275.77, -0.000238, 11489.51697230339, -7.7e-05, -7.9e-05, -0.000169, -0.000197, 4.7e-05
0.05, 10, 800, 14.44, 0.007117, 8757.837505817413, 0.006247, -0.003305, 0.003666, 0.001868, 0.005758
0.05, 20, 800, 58.22, 0.003965, 9026.002748966217, 0.001772, 0.001103, 0.002251, 0.001419, 0.001386
0.05, 50, 800, 372.87, 0.002961, 9597.196620464325, 0.001074, 0.001013, 0.001142, 0.001006, 0.000987
0.05, 100, 800, 1551.42, 0.00156, 14488.300623178482, 0.000572, 0.000256, 0.000409, 0.001173, 0.00071
0.1, 10, 800, 57.74, 0.002533, 9576.324486255646, 0.000528, 0.001189, 0.0014, 0.001325, 0.000625
0.1, 20, 800, 232.88, 0.002942, 10176.276707172394, 0.000893, 0.0009, 0.00111, 0.001395, 0.001584
0.1, 50, 800, 1491.48, 0.001883, 11988.257700920105, 0.000558, 0.001072, 0.001033, 0.000819, 0.000284
0.2, 10, 800, 230.96, 0.002907, 11251.660321474075, 0.001358, 0.000969, 0.001297, 0.001007, 0.001182
0.2, 20, 800, 931.53, 0.002413, 10852.581334590912, 0.00106, 0.00107, 0.000842, 0.000847, 0.001007
