grad_str,grad_duration,delta,b,avg,duration,v8,v9,v10
0.1, 50, 20, 95.73, 0.001669, 885.0983898639679, 0.00126, 0.000963, 0.001114
0.1, 100, 20, 622.72, 0.001771, 1486.2994379997253, 0.001133, 0.001197, 0.001212
0.2, 20, 20, 38.25, 0.001573, 444.5489089488983, 0.000956, 0.001242, 0.000947
0.2, 50, 20, 382.93, 0.001656, 791.6678686141968, 0.001083, 0.001119, 0.00111
0.2, 100, 20, 2490.87, 0.000881, 1394.3657128810883, 0.000402, 0.000661, 0.000698
0.01, 200, 800, 267.41, 0.00219, 5605.019647359848, 0.001605, 0.001228, 0.001548
0.01, 200, 50, 52.68, 0.00154, 2707.79265332222, 0.000979, 0.001133, 0.000967
0.01, 400, 50, 364.18, 0.001924, 5023.246468067169, 0.001381, 0.001178, 0.001289
0.02, 100, 50, 33.5, 0.001778, 1770.7978374958038, 0.000998, 0.001381, 0.001177
0.02, 50, 800, 59.66, 0.002779, 4091.119888782501, 0.000854, 0.001137, 0.001668
0.02, 200, 50, 210.72, 0.001786, 3134.5904562473297, 0.001206, 0.001129, 0.001236
0.05, 400, 50, 1456.73, 0.002347, 5070.8262667655945, 0.002881, 0.001305, 0.000509
0.02, 100, 800, 248.23, 0.001529, 5130.291697025299, 0.000844, 0.001055, 0.00116
0.035, 50, 50, 18.3, 0.00141, 914.7967100143433, 0.000597, 0.001013, 0.001208
0.035, 100, 50, 102.59, 0.001801, 1582.517466545105, 0.001313, 0.001119, 0.001168
0.035, 200, 50, 645.33, 0.001685, 3010.374825000763, 0.001155, 0.001011, 0.001204
0.02, 200, 800, 1069.64, 0.001862, 5698.586872339249, 0.000766, 0.00263, 0.000329
0.05, 50, 50, 37.35, 0.001572, 1042.506834745407, 0.001049, 0.001049, 0.001047
0.05, 100, 50, 209.36, 0.001777, 1760.8631751537323, 0.001197, 0.001118, 0.001239
0.035, 20, 800, 28.53, 0.001898, 3843.6763577461243, 0.001031, 0.000391, 0.002374
0.05, 200, 50, 1317.01, 0.001415, 2628.329836368561, 0.000761, 0.000927, 0.001141
0.1, 20, 50, 18.15, 0.001394, 828.7888007164001, 0.000812, 0.001237, 0.00074
0.1, 50, 50, 149.42, 0.00187, 1578.4739532470703, 0.001179, 0.00125, 0.00131
0.035, 50, 800, 182.71, 0.001551, 4140.579868555069, 0.001122, 0.001046, 0.000934
0.1, 100, 50, 837.45, 0.00178, 2541.5341498851776, 0.00123, 0.001102, 0.001228
0.2, 10, 50, 16.23, 0.001908, 625.3238015174866, 0.000989, 0.001404, 0.001423
0.2, 20, 50, 72.61, 0.00154, 898.7620496749878, 0.000857, 0.001029, 0.001193
0.035, 100, 800, 760.2, 0.001716, 4614.443431854248, 0.001148, 0.001037, 0.001247
0.2, 50, 50, 597.66, 0.00172, 1398.8426706790924, 0.001178, 0.001166, 0.001096
0.2, 100, 50, 3349.78, 0.000537, 2346.777568101883, 0.000152, 0.000153, 0.000769
0.035, 200, 800, 3275.77, -0.000344, 5763.249139070511, -0.000333, 0.000177, -0.000531
0.01, 200, 100, 67.0, 0.00121, 4936.057333469391, 0.000944, 0.000589, 0.000887
0.05, 10, 800, 14.44, 7.8e-05, 3886.348769426346, -0.001725, 0.00467, -0.00179
0.05, 20, 800, 58.22, 0.001915, 4357.677245855331, 0.0013, 0.001308, 0.001223
0.01, 400, 100, 421.44, 0.001946, 7808.772957324982, 0.001352, 0.001415, 0.001125
0.05, 50, 800, 372.87, 0.001937, 4502.835933208466, 0.001164, 0.001268, 0.001443
0.02, 100, 100, 47.81, 0.001931, 3025.342703104019, 0.001165, 0.000952, 0.001745
0.02, 200, 100, 267.98, 0.001881, 4553.083915233612, 0.001292, 0.001341, 0.001128
0.05, 100, 800, 1551.42, 0.001449, 5334.688547134399, 0.00123, 0.001255, 0.000413
0.1, 10, 800, 57.74, 0.00092, 4136.466901063919, 0.001053, 0.000657, 0.00013
0.02, 400, 100, 1685.77, 0.001258, 8872.15452337265, 0.001065, 0.000379, 0.001072
0.1, 20, 800, 232.88, 0.001755, 4281.680993080139, 0.001377, 0.000937, 0.001196
0.035, 50, 100, 29.26, 0.00166, 1956.1837940216064, 0.000945, 0.001045, 0.00133
0.1, 50, 800, 1491.48, 0.001517, 4747.952978849411, 0.001106, 0.000871, 0.001057
0.035, 100, 100, 146.43, 0.001806, 3098.231754541397, 0.001172, 0.001178, 0.001261
0.2, 10, 800, 230.96, 0.00168, 4140.703303813934, 0.001135, 0.001045, 0.001179
0.035, 200, 100, 820.7, 0.001766, 5221.192568540573, 0.001108, 0.001211, 0.001214
0.05, 50, 100, 59.72, 0.001473, 2064.709998846054, 0.001008, 0.000974, 0.000964
0.2, 20, 800, 931.53, 0.001504, 4493.752209663391, 0.001197, 0.000904, 0.000906
0.05, 100, 100, 298.83, 0.001743, 2576.08709192276, 0.001125, 0.00117, 0.001191
0.05, 200, 100, 1674.89, 0.001463, 3882.779105424881, 0.000715, 0.001023, 0.001188
0.1, 20, 100, 32.47, 0.001521, 1300.0677754878998, 0.000869, 0.000873, 0.001299
0.1, 50, 100, 238.89, 0.001855, 1940.3302328586578, 0.001186, 0.001281, 0.001242
